avg_fuel_consumption,acceleration,clearance,body_str,name,options,id,engine_id,generation_id,transmission_id,body_id
,,,Type 937,Standard,{},c60f1b54-d350-4290-95a2-02d557208289,d79a7b1e-f3a2-4eff-8e62-bae0f939b02c,08a8a9a8-8c75-45b7-920a-25558dd5310e,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 937,Standard,{},9d70022e-11ac-4d54-b26f-e272e518d7ac,4e14a05b-f873-4de4-8bd7-c709711cc9cd,08a8a9a8-8c75-45b7-920a-25558dd5310e,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 937,Standard,{},8d34ea2f-7bff-4d23-bf23-18d4d0e77238,4e14a05b-f873-4de4-8bd7-c709711cc9cd,08a8a9a8-8c75-45b7-920a-25558dd5310e,436832f6-5569-46b1-b0e7-70d6a4c5d06f,
,,,Type 937,Standard,{},154cb69f-2823-444d-a5e3-fd0e20398686,d79a7b1e-f3a2-4eff-8e62-bae0f939b02c,e517ee4f-de07-4bea-8d63-940529550d4e,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 937,Standard,{},cbe4dc4d-cff0-497b-9394-89edf0e00011,4e14a05b-f873-4de4-8bd7-c709711cc9cd,e517ee4f-de07-4bea-8d63-940529550d4e,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 937,Standard,{},43f7c77b-5d95-4adc-aa91-22672cf1b6cb,4e14a05b-f873-4de4-8bd7-c709711cc9cd,e517ee4f-de07-4bea-8d63-940529550d4e,436832f6-5569-46b1-b0e7-70d6a4c5d06f,
,,,Type 937,Standard,{},902d6364-eb2e-4a3c-8ca8-97ecbb7487ba,d79a7b1e-f3a2-4eff-8e62-bae0f939b02c,2e9aea05-182f-4d79-8726-8161411cd3df,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 937,Standard,{},1e6c919b-0dd7-4ade-994b-e31b5c827771,4e14a05b-f873-4de4-8bd7-c709711cc9cd,2e9aea05-182f-4d79-8726-8161411cd3df,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 937,Standard,{},6d7bb2c9-3be7-4973-a0b5-04d5178bc000,4e14a05b-f873-4de4-8bd7-c709711cc9cd,2e9aea05-182f-4d79-8726-8161411cd3df,436832f6-5569-46b1-b0e7-70d6a4c5d06f,
,,,Type 937,Standard,{},03d014a1-2497-426a-90e6-816cead38eb2,b96949d1-18e1-4252-ba4a-b5bec121857c,2e9aea05-182f-4d79-8726-8161411cd3df,c09522a6-9b8e-4dff-ba56-bd2271431891,
,,,Type 932,Standard,{},bac737c7-7867-4b61-a283-5975b778c309,5476e621-3eba-4414-b1e2-89d43b6a4440,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 932,Standard,{},43eb820f-3f5d-4066-b05d-2696597ea78d,c6626831-c4a6-4ca7-87de-1529084a946b,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 932,Standard,{},063ddd4a-bd37-4f4d-824f-156885de06f3,c6626831-c4a6-4ca7-87de-1529084a946b,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,436832f6-5569-46b1-b0e7-70d6a4c5d06f,
,,,Type 932,Standard,{},ed4f073d-1061-4bd6-a4cf-69acb0928cd1,d79a7b1e-f3a2-4eff-8e62-bae0f939b02c,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 932,Standard,{},9d34a57b-9d01-4fa4-9211-e5ca5c9d4055,d3d6b4ec-9fd3-459b-99c8-de4fb205364f,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,3c8e248c-9517-4e3d-800f-2f8cb833d346,
,,,Type 932,Standard,{},5f90b4e4-c6e1-46bf-88f0-e76325c43aa1,d3d6b4ec-9fd3-459b-99c8-de4fb205364f,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,436832f6-5569-46b1-b0e7-70d6a4c5d06f,
,,,Type 932,Standard,{},c2ef72d8-cae7-4f8b-9b6a-cfe2ce4469c1,904a39b4-59bc-4b21-a58d-699276503f41,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,c09522a6-9b8e-4dff-ba56-bd2271431891,
,,,Type 939,Standard,{},d9854ae7-9c89-4912-b96f-d4bcd5a5c14b,08abc88c-8afc-4ae2-ad1a-95c489a6212c,1aa19135-be50-493d-a3fb-e059b49f52f2,c4fff348-824a-4f82-b898-fb72085a4def,
,,,Type 939,Standard,{},28051e8d-ea8b-4516-9766-394cf1df12b8,14a1cfd7-1f62-4181-bb1d-28715e134b7a,bc291e76-ea42-46ba-aee6-0f3711217d2f,c4fff348-824a-4f82-b898-fb72085a4def,
,,,Type 939,Standard,{},79949871-05e5-4f41-830d-ed6181650881,08abc88c-8afc-4ae2-ad1a-95c489a6212c,bc291e76-ea42-46ba-aee6-0f3711217d2f,c4fff348-824a-4f82-b898-fb72085a4def,
,,,Type 939,Standard,{},8087acec-1458-489c-8521-a46c714d9022,08abc88c-8afc-4ae2-ad1a-95c489a6212c,d03fed53-81a7-44dc-b676-7a5d358ecfef,c4fff348-824a-4f82-b898-fb72085a4def,
,,,Type 939,Standard,{},0625df99-5cfa-4852-b653-150d2101ae92,14a1cfd7-1f62-4181-bb1d-28715e134b7a,4d330a46-8d1d-4e58-bf14-b71fbdba0145,c4fff348-824a-4f82-b898-fb72085a4def,
