name,is_restyling,start_year,end_year,id,series_id
Type 937,f,2000,2004,08a8a9a8-8c75-45b7-920a-25558dd5310e,4657fbd6-4ef1-41fa-886b-e331bccaf87a
GTA,f,2003,2006,4cd5a52c-257e-480e-a324-f29be9d81db4,4657fbd6-4ef1-41fa-886b-e331bccaf87a
First Restyling,t,2004,2006,e517ee4f-de07-4bea-8d63-940529550d4e,4657fbd6-4ef1-41fa-886b-e331bccaf87a
Second Restyling,t,2006,2010,2e9aea05-182f-4d79-8726-8161411cd3df,4657fbd6-4ef1-41fa-886b-e331bccaf87a
1,t,1997,2007,fd917a5a-ac4c-4edc-8102-69d6fda54bc1,b65c5ae1-3ea1-48d6-8a6e-ce2410d11d71
1,f,2004,2008,1aa19135-be50-493d-a3fb-e059b49f52f2,8ebcdff2-10da-4cf5-aa61-1d95dfa650d7
1,t,2008,2011,bc291e76-ea42-46ba-aee6-0f3711217d2f,8ebcdff2-10da-4cf5-aa61-1d95dfa650d7
Type 936,f,1998,2003,64a02f34-6768-4f91-9656-80db04d49912,527d1aaf-9f5a-471b-be9d-539811995858
Type 936,t,2003,2007,6f95948b-5070-4e22-8b2a-7575c3ea2b61,527d1aaf-9f5a-471b-be9d-539811995858
1 (Type 939),f,2005,2008,d03fed53-81a7-44dc-b676-7a5d358ecfef,05fdaf4a-7700-4da2-adb8-a2e5587ab53a
1 (Type 939),t,2008,2010,4d330a46-8d1d-4e58-bf14-b71fbdba0145,05fdaf4a-7700-4da2-adb8-a2e5587ab53a
2,f,2015,2019,701b813b-b25e-4888-849f-d5ca0c5e1233,37ba7b61-dde3-45b8-a0ab-c2d1fa9dfceb
2,t,2019,2023,33c8b6e5-f37b-4911-9166-9f378a6e3b23,37ba7b61-dde3-45b8-a0ab-c2d1fa9dfceb
3,f,2012,2016,2ac08d20-d438-491a-a0e5-92a28e7d6e3d,cecfaf44-2318-4fce-afd5-d917644513e1
3,t,2016,2020,00bc2d11-316d-49a1-ab80-3a4499239b2f,cecfaf44-2318-4fce-afd5-d917644513e1
1,f,2003,2006,774aaec4-a9da-4d4f-9169-1bfbb62915f8,283400b2-a0f5-40e9-a90b-e79dfad28bce
1,t,2006,2010,30464fb2-fb2f-48f3-8379-4fd5523d471a,283400b2-a0f5-40e9-a90b-e79dfad28bce
Type 916,f,1994,1998,300319e7-6b44-4e5a-ab14-0eb30d8e4146,39d6cc7c-e615-46e8-a878-d5e59c8a4ae1
Type 916,t,1998,2003,bee63a22-96a4-4589-9f2f-19b9d72505fb,39d6cc7c-e615-46e8-a878-d5e59c8a4ae1
Type 955,f,2009,2013,0dae9be1-606e-4d62-a3a3-7ecf77850398,8141530b-e1eb-4c6d-867f-31541a216c17
Type 955,t,2013,2016,78fa2530-f5f4-4787-ae84-d6033c44a74c,8141530b-e1eb-4c6d-867f-31541a216c17
2,f,1994,1998,3f9be7d8-0bff-4529-917d-dce4d3e304a8,5d1f4f30-1644-455b-897d-fcef13b91660
2,t,1998,2003,c224f067-0942-40b0-87bd-2da198d16aeb,5d1f4f30-1644-455b-897d-fcef13b91660
3,f,2006,2008,cdbaed1d-8527-46f6-8935-383b11f2842b,5d1f4f30-1644-455b-897d-fcef13b91660
3,t,2008,2010,a1e550dd-d7ef-4c6d-a818-0995b1829095,5d1f4f30-1644-455b-897d-fcef13b91660
1,f,2016,2019,20d75e74-3599-41c4-9f02-2c8a7f7e4db1,0560159c-cfe8-49f5-8f6e-0c7307a9702b
1,t,2019,2023,97d7c055-d892-4abb-ad9a-e5a1796d7e7e,0560159c-cfe8-49f5-8f6e-0c7307a9702b
1,f,2022,2025,4c0db1f0-97ae-41c0-8bb1-905778c43a21,ee6495eb-a55e-4e0b-8a7e-3acde93ca49d
1,f,2010,2015,50b6392d-167c-46d0-ae6d-f579bffff558,242b61db-ea8e-40e1-a372-dfbf658740d2
1,t,2015,2018,cc41f2c5-8177-4d99-9ec7-9921b4e45fcf,242b61db-ea8e-40e1-a372-dfbf658740d2
2,f,2018,2020,b2619eeb-783e-4d23-92a4-82efb9aeb03a,242b61db-ea8e-40e1-a372-dfbf658740d2
2,t,2020,2024,6da365b6-6d87-4738-a54c-04604b704f96,242b61db-ea8e-40e1-a372-dfbf658740d2
1,f,1999,2003,35c10dcc-d94c-4de9-8d10-f663a7ccdf93,b018253d-d91f-4278-9f40-93d3cb779a10
1,t,2003,2005,a4e7ec6c-3cf9-4f71-ad10-895654cf808b,b018253d-d91f-4278-9f40-93d3cb779a10
1,f,1996,2003,12e2108e-759b-4cdf-99ff-56b8d47cb8d2,ab607439-b402-4748-a561-ea9395a1277c
2,f,2003,2005,8068c3bb-cd45-4a6e-b36d-c6e527b4b1f2,ab607439-b402-4748-a561-ea9395a1277c
2,t,2006,2013,89d5a922-b6e9-4156-9b4b-9cf8f16f71c2,ab607439-b402-4748-a561-ea9395a1277c
3,f,2012,2016,b05814b8-fbb9-4adf-9516-8d2cf54c9a3d,ab607439-b402-4748-a561-ea9395a1277c
3,t,2016,2020,ec2f3bd1-1c00-48b8-9681-7792809cc29e,ab607439-b402-4748-a561-ea9395a1277c
4,f,2020,2024,742b9467-c8fd-4c1e-a35e-c4f525775f12,ab607439-b402-4748-a561-ea9395a1277c
B5,f,1994,1999,44f242a0-d7b7-4dcf-be0e-971ea9942155,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B5,t,1999,2001,e54b6a3a-8348-4780-802f-431310513e2e,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B6,f,2000,2006,92531ee9-f00e-4f64-b770-08085b69833b,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B7,f,2004,2008,5fcca0c6-7db5-48f2-9ec1-c5fb32672fdf,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B8,f,2007,2011,66d558ef-4e84-470c-9e76-489dfed7427b,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B8,t,2011,2015,53c95f51-11d5-4ce9-82b7-b31440bd1c80,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B9,f,2016,2019,8e66f0b3-1ed4-469a-a921-93916c359f6e,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B9,t,2019,2022,6e97a8f3-0e67-4675-aca1-964dd93ed23b,39d10c7b-a0c5-46fa-8f29-4e5a2f4dad08
B8,f,2009,2011,37d3bf72-4d70-47c2-b64d-6553f51e703f,c4880242-30dd-4c5e-8a60-01e63c6dcaf4
B8,t,2011,2016,cba8177f-e9ac-48d4-88c2-844bb9dce131,c4880242-30dd-4c5e-8a60-01e63c6dcaf4
B9,f,2016,2019,71697eb7-14d7-48f7-a0b8-ef7eda2c905f,c4880242-30dd-4c5e-8a60-01e63c6dcaf4
B9,t,2019,,3c41f9a8-12eb-4e5c-ba19-f014aa72799d,c4880242-30dd-4c5e-8a60-01e63c6dcaf4
1,f,2007,2011,602f0ff6-f08c-4879-a24f-e83625868fb5,3978c612-2f17-4a43-8c17-eda42db0ffda
1,t,2011,2016,7332af16-d8bd-45c4-b933-4eb5ade9396a,3978c612-2f17-4a43-8c17-eda42db0ffda
2,f,2016,2019,aab1d6d5-52f7-4e8d-ad2f-e4f44873decf,3978c612-2f17-4a43-8c17-eda42db0ffda
2,t,2019,2022,d5e53b0a-6c32-46ee-a2a8-6e75f71adb84,3978c612-2f17-4a43-8c17-eda42db0ffda
Sportback 1,t,2009,2016,3f5b55b5-360f-4876-8ac2-e4fa8ba908cb,3978c612-2f17-4a43-8c17-eda42db0ffda
C4,f,1994,1997,adf77c9b-e0d3-4ffd-adf4-c0f5b30ae5bb,21939d93-2b73-48a0-9a3b-ab92e3992225
C5 (4B),f,1997,2001,84ff384b-5d46-4a25-85d3-887d5714343f,21939d93-2b73-48a0-9a3b-ab92e3992225
C5 (4B),t,2001,2005,0afbb78d-991e-44a3-b410-00b8147e37b2,21939d93-2b73-48a0-9a3b-ab92e3992225
C6,f,2004,2008,9b3f2b63-4c37-471d-9164-0d4c846c066d,21939d93-2b73-48a0-9a3b-ab92e3992225
C6,t,2008,2011,619af78b-95a9-4bc0-9c40-7aae61399ca3,21939d93-2b73-48a0-9a3b-ab92e3992225
C7,f,2011,2014,8efa371d-f033-4285-83ce-e976d7751c06,21939d93-2b73-48a0-9a3b-ab92e3992225
C7,t,2014,2018,65aeab47-250a-4f53-8e38-a4dfb51fce77,21939d93-2b73-48a0-9a3b-ab92e3992225
C8,f,2018,2023,69d68315-db56-43fb-afc0-b992e6d1706f,21939d93-2b73-48a0-9a3b-ab92e3992225
C8,t,2023,2025,d461f00c-53dc-4088-8987-6b6b4de96ffb,21939d93-2b73-48a0-9a3b-ab92e3992225
C5,f,1999,2005,26fbea71-d32c-4f37-a1ad-093f587b06ad,ce60cf86-8031-4f08-bc39-175f24766a67
Allroad,f,2006,2008,cbfd12d6-fa20-4048-bf81-dc34fd0a0466,21939d93-2b73-48a0-9a3b-ab92e3992225
Allroad,t,2008,2011,de77faea-9e39-4cd8-ad4e-f1999d14f02e,21939d93-2b73-48a0-9a3b-ab92e3992225
C7,f,2012,2014,d5cbd6d9-8563-4314-aa2a-a8a1d47a7b7c,ce60cf86-8031-4f08-bc39-175f24766a67
C7,t,2014,2018,b033d9fb-4b61-4338-91b6-244399feff56,ce60cf86-8031-4f08-bc39-175f24766a67
C8,t,2019,2022,85ace3b0-a8d8-408d-a5d0-a91de44d7c45,ce60cf86-8031-4f08-bc39-175f24766a67
C7,f,2010,2014,a58a0bb1-f0c9-429e-ba0f-95e8bf99d87f,f2b1ce16-8f77-43f9-bb0a-06fe8b5fff8f
C7,t,2014,2018,b24f733a-3eca-4f44-80c4-dd6db1c81ae5,f2b1ce16-8f77-43f9-bb0a-06fe8b5fff8f
C8,f,2018,2023,e5864f20-8735-4364-85a3-80d7805f0c21,f2b1ce16-8f77-43f9-bb0a-06fe8b5fff8f
C8,t,2023,2025,1523968f-6037-4a69-8815-061e07e0e385,f2b1ce16-8f77-43f9-bb0a-06fe8b5fff8f
S7 (Sport),t,2019,2025,2670707d-0974-4edf-a7f1-b7ad3fcba1b9,f2b1ce16-8f77-43f9-bb0a-06fe8b5fff8f
D2,f,1994,1999,a168cf5e-317b-4838-b9f2-f4ad41edd4d9,b8fe9862-8731-4c29-9b1c-4b9a6691de22
D2,t,1999,2002,38cab2d8-34f9-43cd-965d-a08a8126f491,b8fe9862-8731-4c29-9b1c-4b9a6691de22
D3,f,2002,2005,a2d27b8b-0fe3-4323-ae28-a78b449b98b3,b8fe9862-8731-4c29-9b1c-4b9a6691de22
D3,t,2005,2007,ec22a0a3-bd9d-44ae-9ec2-8611f66f4c02,b8fe9862-8731-4c29-9b1c-4b9a6691de22
S8 D3,f,2006,2007,22cd4eff-66fb-487f-962a-d03b8091f534,b8fe9862-8731-4c29-9b1c-4b9a6691de22
D4,f,2009,2013,50eb8807-0580-4376-b5fa-69f704939679,b8fe9862-8731-4c29-9b1c-4b9a6691de22
