ID_MARK,brand,country,model
ABARTH,Abarth,IT,124 Spider
ABARTH,Abarth,IT,500
ABARTH,Abarth,IT,600e
AC,AC,GB,378 GT Zagato
AC,AC,GB,Ace
AC,AC,GB,Aceca
AC,AC,GB,Cobra
AC,AC,GB,Cobra GT
ACURA,Acura,JP,ADX
ACURA,Acura,JP,CDX
ACURA,Acura,JP,CL
ACURA,Acura,JP,CSX
ACURA,Acura,JP,EL
ACURA,Acura,JP,ILX
ACURA,Acura,JP,Integra
ACURA,Acura,JP,Legend
ACURA,Acura,JP,MDX
ACURA,Acura,JP,NSX
ACURA,Acura,JP,RDX
ACURA,Acura,JP,RL
ACURA,Acura,JP,RLX
ACURA,Acura,JP,RSX
ACURA,Acura,JP,SLX
ACURA,Acura,JP,TL
ACURA,Acura,JP,TLX
ACURA,Acura,JP,TSX
ACURA,Acura,JP,ZDX
ADAM,Adam,PK,Revo
ADLER,Adler,DE,Diplomat
ADLER,Adler,DE,Trumpf Junior
AION,GAC Aion,CN,Hyptec GT (Hyper GT)
AION,GAC Aion,CN,Hyptec HT (Hyper HT)
AION,GAC Aion,CN,Hyptec SSR (Hyper SSR)
AION,GAC Aion,CN,Hyptec HL
AION,GAC Aion,CN,LX
AION,GAC Aion,CN,LX Plus
AION,GAC Aion,CN,RT
AION,GAC Aion,CN,S
AION,GAC Aion,CN,S Plus
AION,GAC Aion,CN,UT
AION,GAC Aion,CN,V
AION,GAC Aion,CN,Y
AION,GAC Aion,CN,Y Plus
AITO,Aito,CN,M5
AITO,Aito,CN,M7
AITO,Aito,CN,M8
AITO,Aito,CN,M9
AIWAYS,Aiways,CN,U5
AIWAYS,Aiways,CN,U6
AIXAM,Aixam,FR,500
ALFA_ROMEO,Alfa Romeo,IT,105/115
ALFA_ROMEO,Alfa Romeo,IT,145
ALFA_ROMEO,Alfa Romeo,IT,146
ALFA_ROMEO,Alfa Romeo,IT,147
ALFA_ROMEO,Alfa Romeo,IT,155
ALFA_ROMEO,Alfa Romeo,IT,156
ALFA_ROMEO,Alfa Romeo,IT,159
ALFA_ROMEO,Alfa Romeo,IT,164
ALFA_ROMEO,Alfa Romeo,IT,166
ALFA_ROMEO,Alfa Romeo,IT,1900
